,lens1,lens2,lens1_n_cubes,lens2_n_cubes,lens1_perc_overlap,lens2_perc_overlap,eps,n_vertices,n_connected_components
202,neighbour_1,IL-6,1,1,0.9,0.1,0.5000000000000001,1,1
203,neighbour_1,IL-6,1,1,0.9,0.1,0.7000000000000001,1,1
204,neighbour_1,IL-6,1,1,0.9,0.1,0.9000000000000001,1,1
205,neighbour_1,IL-6,1,1,0.9,0.1,1.1000000000000003,1,1
206,neighbour_1,IL-6,1,1,0.9,0.1,1.3000000000000003,1,1
207,neighbour_1,IL-6,1,1,0.9,0.1,1.5000000000000004,1,1
208,neighbour_1,IL-6,1,1,0.9,0.1,1.7000000000000004,1,1
209,neighbour_1,IL-6,1,1,0.9,0.1,1.9000000000000004,1,1
210,neighbour_1,IL-6,1,1,0.9,0.3,0.1,6,6
211,neighbour_1,IL-6,1,1,0.9,0.3,0.30000000000000004,3,3
212,neighbour_1,IL-6,1,1,0.9,0.3,0.5000000000000001,1,1
213,neighbour_1,IL-6,1,1,0.9,0.3,0.7000000000000001,1,1
214,neighbour_1,IL-6,1,1,0.9,0.3,0.9000000000000001,1,1
215,neighbour_1,IL-6,1,1,0.9,0.3,1.1000000000000003,1,1
216,neighbour_1,IL-6,1,1,0.9,0.3,1.3000000000000003,1,1
217,neighbour_1,IL-6,1,1,0.9,0.3,1.5000000000000004,1,1
218,neighbour_1,IL-6,1,1,0.9,0.3,1.7000000000000004,1,1
219,neighbour_1,IL-6,1,1,0.9,0.3,1.9000000000000004,1,1
220,neighbour_1,IL-6,1,1,0.9,0.5,0.1,6,6
221,neighbour_1,IL-6,1,1,0.9,0.5,0.30000000000000004,3,3
222,neighbour_1,IL-6,1,1,0.9,0.5,0.5000000000000001,1,1
223,neighbour_1,IL-6,1,1,0.9,0.5,0.7000000000000001,1,1
224,neighbour_1,IL-6,1,1,0.9,0.5,0.9000000000000001,1,1
225,neighbour_1,IL-6,1,1,0.9,0.5,1.1000000000000003,1,1
226,neighbour_1,IL-6,1,1,0.9,0.5,1.3000000000000003,1,1
227,neighbour_1,IL-6,1,1,0.9,0.5,1.5000000000000004,1,1
228,neighbour_1,IL-6,1,1,0.9,0.5,1.7000000000000004,1,1
229,neighbour_1,IL-6,1,1,0.9,0.5,1.9000000000000004,1,1
230,neighbour_1,IL-6,1,1,0.9,0.7,0.1,6,6
231,neighbour_1,IL-6,1,1,0.9,0.7,0.30000000000000004,3,3
232,neighbour_1,IL-6,1,1,0.9,0.7,0.5000000000000001,1,1
233,neighbour_1,IL-6,1,1,0.9,0.7,0.7000000000000001,1,1
234,neighbour_1,IL-6,1,1,0.9,0.7,0.9000000000000001,1,1
235,neighbour_1,IL-6,1,1,0.9,0.7,1.1000000000000003,1,1
236,neighbour_1,IL-6,1,1,0.9,0.7,1.3000000000000003,1,1
237,neighbour_1,IL-6,1,1,0.9,0.7,1.5000000000000004,1,1
238,neighbour_1,IL-6,1,1,0.9,0.7,1.7000000000000004,1,1
239,neighbour_1,IL-6,1,1,0.9,0.7,1.9000000000000004,1,1
240,neighbour_1,IL-6,1,1,0.9,0.9,0.1,6,6
241,neighbour_1,IL-6,1,1,0.9,0.9,0.30000000000000004,3,3
242,neighbour_1,IL-6,1,1,0.9,0.9,0.5000000000000001,1,1
243,neighbour_1,IL-6,1,1,0.9,0.9,0.7000000000000001,1,1
244,neighbour_1,IL-6,1,1,0.9,0.9,0.9000000000000001,1,1
245,neighbour_1,IL-6,1,1,0.9,0.9,1.1000000000000003,1,1
246,neighbour_1,IL-6,1,1,0.9,0.9,1.3000000000000003,1,1
247,neighbour_1,IL-6,1,1,0.9,0.9,1.5000000000000004,1,1
248,neighbour_1,IL-6,1,1,0.9,0.9,1.7000000000000004,1,1
249,neighbour_1,IL-6,1,1,0.9,0.9,1.9000000000000004,1,1
250,neighbour_1,IL-6,1,3,0.1,0.1,0.5000000000000001,5,4
251,neighbour_1,IL-6,1,3,0.1,0.1,0.7000000000000001,5,4
252,neighbour_1,IL-6,1,3,0.1,0.1,0.9000000000000001,4,3
253,neighbour_1,IL-6,1,3,0.1,0.1,1.1000000000000003,4,3
254,neighbour_1,IL-6,1,3,0.1,0.1,1.3000000000000003,3,2
255,neighbour_1,IL-6,1,3,0.1,0.1,1.5000000000000004,3,2
256,neighbour_1,IL-6,1,3,0.1,0.1,1.7000000000000004,3,2
257,neighbour_1,IL-6,1,3,0.1,0.1,1.9000000000000004,3,2
258,neighbour_1,IL-6,1,3,0.1,0.3,0.5000000000000001,5,3
259,neighbour_1,IL-6,1,3,0.1,0.3,0.7000000000000001,5,3
260,neighbour_1,IL-6,1,3,0.1,0.3,0.9000000000000001,4,2
261,neighbour_1,IL-6,1,3,0.1,0.3,1.1000000000000003,4,2
262,neighbour_1,IL-6,1,3,0.1,0.3,1.3000000000000003,3,1
263,neighbour_1,IL-6,1,3,0.1,0.3,1.5000000000000004,3,1
264,neighbour_1,IL-6,1,3,0.1,0.3,1.7000000000000004,3,1
265,neighbour_1,IL-6,1,3,0.1,0.3,1.9000000000000004,3,1
266,neighbour_1,IL-6,1,3,0.1,0.5,0.30000000000000004,7,3
267,neighbour_1,IL-6,1,3,0.1,0.5,0.5000000000000001,5,1
268,neighbour_1,IL-6,1,3,0.1,0.5,0.7000000000000001,5,1
269,neighbour_1,IL-6,1,3,0.1,0.5,0.9000000000000001,4,1
270,neighbour_1,IL-6,1,3,0.1,0.5,1.1000000000000003,3,1
271,neighbour_1,IL-6,1,3,0.1,0.5,1.3000000000000003,3,1
272,neighbour_1,IL-6,1,3,0.1,0.5,1.5000000000000004,3,1
273,neighbour_1,IL-6,1,3,0.1,0.5,1.7000000000000004,3,1
274,neighbour_1,IL-6,1,3,0.1,0.5,1.9000000000000004,3,1
275,neighbour_1,IL-6,1,3,0.1,0.7,0.1,16,6
276,neighbour_1,IL-6,1,3,0.1,0.7,0.30000000000000004,9,3
277,neighbour_1,IL-6,1,3,0.1,0.7,0.5000000000000001,4,1
278,neighbour_1,IL-6,1,3,0.1,0.7,0.7000000000000001,4,1
279,neighbour_1,IL-6,1,3,0.1,0.7,0.9000000000000001,3,1
280,neighbour_1,IL-6,1,3,0.1,0.7,1.1000000000000003,3,1
281,neighbour_1,IL-6,1,3,0.1,0.7,1.3000000000000003,3,1
282,neighbour_1,IL-6,1,3,0.1,0.7,1.5000000000000004,3,1
283,neighbour_1,IL-6,1,3,0.1,0.7,1.7000000000000004,3,1
284,neighbour_1,IL-6,1,3,0.1,0.7,1.9000000000000004,3,1
285,neighbour_1,IL-6,1,3,0.1,0.9,0.1,18,6
286,neighbour_1,IL-6,1,3,0.1,0.9,0.30000000000000004,9,3
287,neighbour_1,IL-6,1,3,0.1,0.9,0.5000000000000001,3,1
288,neighbour_1,IL-6,1,3,0.1,0.9,0.7000000000000001,3,1
289,neighbour_1,IL-6,1,3,0.1,0.9,0.9000000000000001,3,1
290,neighbour_1,IL-6,1,3,0.1,0.9,1.1000000000000003,3,1
291,neighbour_1,IL-6,1,3,0.1,0.9,1.3000000000000003,3,1
292,neighbour_1,IL-6,1,3,0.1,0.9,1.5000000000000004,3,1
293,neighbour_1,IL-6,1,3,0.1,0.9,1.7000000000000004,3,1
294,neighbour_1,IL-6,1,3,0.1,0.9,1.9000000000000004,3,1
295,neighbour_1,IL-6,1,3,0.3,0.1,0.5000000000000001,5,4
296,neighbour_1,IL-6,1,3,0.3,0.1,0.7000000000000001,5,4
297,neighbour_1,IL-6,1,3,0.3,0.1,0.9000000000000001,4,3
298,neighbour_1,IL-6,1,3,0.3,0.1,1.1000000000000003,4,3
299,neighbour_1,IL-6,1,3,0.3,0.1,1.3000000000000003,3,2
300,neighbour_1,IL-6,1,3,0.3,0.1,1.5000000000000004,3,2
301,neighbour_1,IL-6,1,3,0.3,0.1,1.7000000000000004,3,2
302,neighbour_1,IL-6,1,3,0.3,0.1,1.9000000000000004,3,2
303,neighbour_1,IL-6,1,3,0.3,0.3,0.5000000000000001,5,3
304,neighbour_1,IL-6,1,3,0.3,0.3,0.7000000000000001,5,3
